ServiceName,BV-Def-Home,BV-Def-Pro,BV-Safe-Desk,BV-Safe-Lap,BV-Tweaked-Desk
Wecsvc,-2,-2,-2,-2,-2
EventLog,-3,-3,-3,-3,-3
FontCache,-3,-3,-3,-3,-3
StiSvc,-2,-2,-2,-2,-2
wisvc,2,2,1,1,1
LicenseManager,-2,-2,-2,-2,-2
Winmgmt,-3,-3,-3,-3,-3
WMPNetworkSvc,2,2,1,1,1
icssvc,2,2,1,1,1
TrustedInstaller,-2,-2,-2,-2,-2
spectrum,-2,-2,-2,-2,-2
FontCache3.0.0.0,2,2,0,0,0
WAS,2,2,0,0,0
WpnService,-3,-3,-3,-3,-3
WpnUserService_?????,-3,-3,-3,-3,-3
PushToInstall,-2,-2,-2,-2,-2
WinRM,2,2,1,1,1
WSearch,-4,-4,-4,-4,-4
W32Time,-2,-2,-2,-2,-2
wuauserv,-2,-2,-2,-2,-2
WaaSMedicSvc,-2,-2,-2,-2,-2
WinHttpAutoProxySvc,-2,-2,-2,-2,-2
dot3svc,-2,-2,-2,-2,-2
WlanSvc,3,3,2,3,2
wmiApSrv,-2,-2,-2,-2,-2
workfolderssvc,2,2,1,1,1
LanmanWorkstation,-3,-3,-3,-3,-3
W3SVC,3,3,0,0,0
WwanSvc,2,2,1,1,1
XboxGipSvc,-2,-2,-2,-2,-2
xbgm,-2,-2,-2,-2,-2
XblAuthManager,2,2,1,1,1
XblGameSave,2,2,1,1,1
XboxNetApiSvc,2,2,1,1,1
